shirt0,shirt1,pants0,pants1,shoes0,shoes1,group
Black,Black,Brown,Brown,White,White,Me
Mint,Green,Khaki,Khaki,Black,Black,Me
Black,Black,Brown,Brown,White,White,Me
Red,Red,Brown,Brown,Gray,Gray,Me
Olive,Olive,Black,Black,Gray,Gray,Me
Navy,Yellow,Gray,Gray,Black,Black,Me
LightBlue,LightBlue,Black,Black,Gray,Gray,Me
Gray,Gray,Brown,Brown,Gray,Gray,Me
LightGray,LightGray,Brown,Brown,White,White,Me
Blue,Blue,Black,Black,Yellow,Gray,Me
White,White,Brown,Brown,Blue,Blue,Me
Red,Red,Denim,Denim,Mustard,Mustard,EVL
White,White,White,White,Black,White,EVL
Blue,DarkBlue,Denim,Denim,Gray,Gray,EVL
Green,Green,Brown,Brown,Brown,Brown,EVL
Black,Black,Denim,Denim,Mustard,Mustard,EVL
Gray,Gray,Green,Green,Brown,Brown,Other
Gray,Navy,LightDenim,LightDenim,Navy,Navy,Other
Black,Black,Red,Red,Gray,Gray,Other
LightBlue,LightBlue,Olive,Olive,Navy,Navy,Other
LightGray,DarkGray,Blue,Blue,Navy,Navy,Other
LightGray,LightGray,Black,Black,Black,Black,Other
White,LightGray,Gray,Gray,Tan,Tan,Other
Black,Black,Navy,Navy,LightGray,LightGray,Other
LightGreen,LightGreen,LightDenim,LightDenim,White,White,Other
Gray,Red,LightDenim,LightDenim,Brown,Brown,Other
Denim,Denim,Black,Black,Black,Black,Other
Denim,Denim,Black,Black,LightGray,LightGray,Other
Yellow,Yellow,Denim,Denim,Gray,Gray,EVL
LightBlue,LightBlue,Tan,Tan,Maroon,Maroon,Other
Maroon,Maroon,Denim,Denim,Tan,Tan,Other
Black,White,Black,Black,White,White,Other
LightPurple,LightPurple,LightDenim,LightDenim,Gray,Pink,EVL
Olive,Olive,Olive,Olive,Khaki,Khaki,Other
Mustard,Gray,Gray,Gray,LightGray,LightGray,Other
Gray,Gray,Maroon,Maroon,DarkGray,DarkGray,Other
White,White,Denim,Denim,Blue,Blue,Other
Blue,Blue,Denim,Denim,Black,Black,Other
Green,Green,Black,Black,Brown,Brown,Other
Denim,Denim,Black,Black,White,White,Other
Black,White,Khaki,Khaki,White,White,Other
Black,Black,Denim,Denim,Brown,Brown,Other
White,White,Black,White,Khaki,Khaki,EVL
White,White,Khaki,Khaki,Teal,Teal,Me
Green,LightPurple,Khaki,Khaki,LightTeal,LightTeal,Me
LightBlue,LightBlue,Brown,Brown,Blue,Blue,Me
Blue,Blue,Brown,Brown,Brown,Brown,EVL
Red,Black,Khaki,Khaki,Black,Black,Other
White,White,Denim,Denim,Gray,Black,Other
Black,Black,Gray,Gray,Black,Black,Other
Denim,Gray,Gray,Gray,White,White,Other
Maroon,Maroon,Denim,Denim,Tan,Tan,EVL
